age,County,Population,FIP,Total,age_sort,year,merger
85 years and over,"Warren County, Virginia",236,VA_187,38991,85,2013-2017,"85 years and overWarren County, Virginia"
85 years and over,"Alexandria city, Virginia",587,VA_510,154710,85,2013-2017,"85 years and overAlexandria city, Virginia"
85 years and over,"Fairfax city, Virginia",133,VA_600,23580,85,2013-2017,"85 years and overFairfax city, Virginia"
85 years and over,"Falls Church city, Virginia",64,VA_610,13843,85,2013-2017,"85 years and overFalls Church city, Virginia"
85 years and over,"Fredericksburg city, Virginia",94,VA_630,28135,85,2013-2017,"85 years and overFredericksburg city, Virginia"
85 years and over,"Manassas city, Virginia",99,VA_683,41379,85,2013-2017,"85 years and overManassas city, Virginia"
85 years and over,"Manassas Park city, Virginia",36,VA_685,16117,85,2013-2017,"85 years and overManassas Park city, Virginia"
85 years and over,"Jefferson County, West Virginia",216,WV_037,55673,85,2013-2017,"85 years and overJefferson County, West Virginia"
under 5 years,"District of Columbia, District of Columbia",21490,DC_001,672391,4,2013-2017,"under 5 yearsDistrict of Columbia, District of Columbia"
under 5 years,"Calvert County, Maryland",2273,MD_009,90824,4,2013-2017,"under 5 yearsCalvert County, Maryland"
under 5 years,"Charles County, Maryland",4667,MD_017,156021,4,2013-2017,"under 5 yearsCharles County, Maryland"
under 5 years,"Frederick County, Maryland",7103,MD_021,246105,4,2013-2017,"under 5 yearsFrederick County, Maryland"
under 5 years,"Montgomery County, Maryland",32716,MD_031,1039198,4,2013-2017,"under 5 yearsMontgomery County, Maryland"
under 5 years,"Prince George's County, Maryland",29340,MD_033,905161,4,2013-2017,"under 5 yearsPrince George's County, Maryland"
under 5 years,"Arlington County, Virginia",6654,VA_013,229534,4,2013-2017,"under 5 yearsArlington County, Virginia"
under 5 years,"Clarke County, Virginia",349,VA_043,14331,4,2013-2017,"under 5 yearsClarke County, Virginia"
under 5 years,"Culpeper County, Virginia",1482,VA_047,49795,4,2013-2017,"under 5 yearsCulpeper County, Virginia"
under 5 years,"Fairfax County, Virginia",36239,VA_059,1142004,4,2013-2017,"under 5 yearsFairfax County, Virginia"
under 5 years,"Fauquier County, Virginia",1946,VA_061,68406,4,2013-2017,"under 5 yearsFauquier County, Virginia"
under 5 years,"Loudoun County, Virginia",13793,VA_107,374558,4,2013-2017,"under 5 yearsLoudoun County, Virginia"
under 5 years,"Prince William County, Virginia",16614,VA_153,450763,4,2013-2017,"under 5 yearsPrince William County, Virginia"
under 5 years,"Rappahannock County, Virginia",249,VA_157,7359,4,2013-2017,"under 5 yearsRappahannock County, Virginia"
under 5 years,"Spotsylvania County, Virginia",3957,VA_177,130159,4,2013-2017,"under 5 yearsSpotsylvania County, Virginia"
under 5 years,"Stafford County, Virginia",4431,VA_179,141159,4,2013-2017,"under 5 yearsStafford County, Virginia"
under 5 years,"Warren County, Virginia",1180,VA_187,38991,4,2013-2017,"under 5 yearsWarren County, Virginia"
under 5 years,"Alexandria city, Virginia",5429,VA_510,154710,4,2013-2017,"under 5 yearsAlexandria city, Virginia"
under 5 years,"Fairfax city, Virginia",883,VA_600,23580,4,2013-2017,"under 5 yearsFairfax city, Virginia"
under 5 years,"Falls Church city, Virginia",448,VA_610,13843,4,2013-2017,"under 5 yearsFalls Church city, Virginia"
under 5 years,"Fredericksburg city, Virginia",913,VA_630,28135,4,2013-2017,"under 5 yearsFredericksburg city, Virginia"
under 5 years,"Manassas city, Virginia",1716,VA_683,41379,4,2013-2017,"under 5 yearsManassas city, Virginia"
under 5 years,"Manassas Park city, Virginia",360,VA_685,16117,4,2013-2017,"under 5 yearsManassas Park city, Virginia"
under 5 years,"Jefferson County, West Virginia",1489,WV_037,55673,4,2013-2017,"under 5 yearsJefferson County, West Virginia"
5 to 9 years,"District of Columbia, District of Columbia",16379,DC_001,672391,5,2013-2017,"5 to 9 yearsDistrict of Columbia, District of Columbia"
5 to 9 years,"Calvert County, Maryland",2490,MD_009,90824,5,2013-2017,"5 to 9 yearsCalvert County, Maryland"
5 to 9 years,"Charles County, Maryland",4725,MD_017,156021,5,2013-2017,"5 to 9 yearsCharles County, Maryland"
5 to 9 years,"Frederick County, Maryland",7234,MD_021,246105,5,2013-2017,"5 to 9 yearsFrederick County, Maryland"
5 to 9 years,"Montgomery County, Maryland",32755,MD_031,1039198,5,2013-2017,"5 to 9 yearsMontgomery County, Maryland"
5 to 9 years,"Prince George's County, Maryland",28350,MD_033,905161,5,2013-2017,"5 to 9 yearsPrince George's County, Maryland"
5 to 9 years,"Arlington County, Virginia",5506,VA_013,229534,5,2013-2017,"5 to 9 yearsArlington County, Virginia"
5 to 9 years,"Clarke County, Virginia",276,VA_043,14331,5,2013-2017,"5 to 9 yearsClarke County, Virginia"
5 to 9 years,"Culpeper County, Virginia",1881,VA_047,49795,5,2013-2017,"5 to 9 yearsCulpeper County, Virginia"
5 to 9 years,"Fairfax County, Virginia",38547,VA_059,1142004,5,2013-2017,"5 to 9 yearsFairfax County, Virginia"
5 to 9 years,"Fauquier County, Virginia",1981,VA_061,68406,5,2013-2017,"5 to 9 yearsFauquier County, Virginia"
5 to 9 years,"Loudoun County, Virginia",15382,VA_107,374558,5,2013-2017,"5 to 9 yearsLoudoun County, Virginia"
5 to 9 years,"Prince William County, Virginia",18255,VA_153,450763,5,2013-2017,"5 to 9 yearsPrince William County, Virginia"
5 to 9 years,"Rappahannock County, Virginia",177,VA_157,7359,5,2013-2017,"5 to 9 yearsRappahannock County, Virginia"
5 to 9 years,"Spotsylvania County, Virginia",4545,VA_177,130159,5,2013-2017,"5 to 9 yearsSpotsylvania County, Virginia"
5 to 9 years,"Stafford County, Virginia",4944,VA_179,141159,5,2013-2017,"5 to 9 yearsStafford County, Virginia"
5 to 9 years,"Warren County, Virginia",1389,VA_187,38991,5,2013-2017,"5 to 9 yearsWarren County, Virginia"
5 to 9 years,"Alexandria city, Virginia",3703,VA_510,154710,5,2013-2017,"5 to 9 yearsAlexandria city, Virginia"
5 to 9 years,"Fairfax city, Virginia",542,VA_600,23580,5,2013-2017,"5 to 9 yearsFairfax city, Virginia"
5 to 9 years,"Falls Church city, Virginia",442,VA_610,13843,5,2013-2017,"5 to 9 yearsFalls Church city, Virginia"
5 to 9 years,"Fredericksburg city, Virginia",750,VA_630,28135,5,2013-2017,"5 to 9 yearsFredericksburg city, Virginia"
5 to 9 years,"Manassas city, Virginia",1534,VA_683,41379,5,2013-2017,"5 to 9 yearsManassas city, Virginia"
5 to 9 years,"Manassas Park city, Virginia",767,VA_685,16117,5,2013-2017,"5 to 9 yearsManassas Park city, Virginia"
5 to 9 years,"Jefferson County, West Virginia",1760,WV_037,55673,5,2013-2017,"5 to 9 yearsJefferson County, West Virginia"
10 to 14 years,"District of Columbia, District of Columbia",12963,DC_001,672391,10,2013-2017,"10 to 14 yearsDistrict of Columbia, District of Columbia"
10 to 14 years,"Calvert County, Maryland",3564,MD_009,90824,10,2013-2017,"10 to 14 yearsCalvert County, Maryland"
10 to 14 years,"Charles County, Maryland",5773,MD_017,156021,10,2013-2017,"10 to 14 yearsCharles County, Maryland"
10 to 14 years,"Frederick County, Maryland",8838,MD_021,246105,10,2013-2017,"10 to 14 yearsFrederick County, Maryland"
10 to 14 years,"Montgomery County, Maryland",33678,MD_031,1039198,10,2013-2017,"10 to 14 yearsMontgomery County, Maryland"
10 to 14 years,"Prince George's County, Maryland",26249,MD_033,905161,10,2013-2017,"10 to 14 yearsPrince George's County, Maryland"
10 to 14 years,"Arlington County, Virginia",4782,VA_013,229534,10,2013-2017,"10 to 14 yearsArlington County, Virginia"
10 to 14 years,"Clarke County, Virginia",465,VA_043,14331,10,2013-2017,"10 to 14 yearsClarke County, Virginia"
10 to 14 years,"Culpeper County, Virginia",1703,VA_047,49795,10,2013-2017,"10 to 14 yearsCulpeper County, Virginia"
10 to 14 years,"Fairfax County, Virginia",35449,VA_059,1142004,10,2013-2017,"10 to 14 yearsFairfax County, Virginia"
10 to 14 years,"Fauquier County, Virginia",2426,VA_061,68406,10,2013-2017,"10 to 14 yearsFauquier County, Virginia"
10 to 14 years,"Loudoun County, Virginia",15904,VA_107,374558,10,2013-2017,"10 to 14 yearsLoudoun County, Virginia"
10 to 14 years,"Prince William County, Virginia",16119,VA_153,450763,10,2013-2017,"10 to 14 yearsPrince William County, Virginia"
10 to 14 years,"Rappahannock County, Virginia",190,VA_157,7359,10,2013-2017,"10 to 14 yearsRappahannock County, Virginia"
10 to 14 years,"Spotsylvania County, Virginia",4800,VA_177,130159,10,2013-2017,"10 to 14 yearsSpotsylvania County, Virginia"
10 to 14 years,"Stafford County, Virginia",5564,VA_179,141159,10,2013-2017,"10 to 14 yearsStafford County, Virginia"
10 to 14 years,"Warren County, Virginia",1116,VA_187,38991,10,2013-2017,"10 to 14 yearsWarren County, Virginia"
10 to 14 years,"Alexandria city, Virginia",2939,VA_510,154710,10,2013-2017,"10 to 14 yearsAlexandria city, Virginia"
10 to 14 years,"Fairfax city, Virginia",713,VA_600,23580,10,2013-2017,"10 to 14 yearsFairfax city, Virginia"
10 to 14 years,"Falls Church city, Virginia",436,VA_610,13843,10,2013-2017,"10 to 14 yearsFalls Church city, Virginia"
10 to 14 years,"Fredericksburg city, Virginia",771,VA_630,28135,10,2013-2017,"10 to 14 yearsFredericksburg city, Virginia"
10 to 14 years,"Manassas city, Virginia",1393,VA_683,41379,10,2013-2017,"10 to 14 yearsManassas city, Virginia"
10 to 14 years,"Manassas Park city, Virginia",484,VA_685,16117,10,2013-2017,"10 to 14 yearsManassas Park city, Virginia"
10 to 14 years,"Jefferson County, West Virginia",1846,WV_037,55673,10,2013-2017,"10 to 14 yearsJefferson County, West Virginia"
15 to 17 years,"District of Columbia, District of Columbia",7741,DC_001,672391,15,2013-2017,"15 to 17 yearsDistrict of Columbia, District of Columbia"
15 to 17 years,"Calvert County, Maryland",2131,MD_009,90824,15,2013-2017,"15 to 17 yearsCalvert County, Maryland"
15 to 17 years,"Charles County, Maryland",3552,MD_017,156021,15,2013-2017,"15 to 17 yearsCharles County, Maryland"
15 to 17 years,"Frederick County, Maryland",5274,MD_021,246105,15,2013-2017,"15 to 17 yearsFrederick County, Maryland"
15 to 17 years,"Montgomery County, Maryland",20207,MD_031,1039198,15,2013-2017,"15 to 17 yearsMontgomery County, Maryland"
15 to 17 years,"Prince George's County, Maryland",16079,MD_033,905161,15,2013-2017,"15 to 17 yearsPrince George's County, Maryland"
15 to 17 years,"Arlington County, Virginia",2514,VA_013,229534,15,2013-2017,"15 to 17 yearsArlington County, Virginia"
15 to 17 years,"Clarke County, Virginia",265,VA_043,14331,15,2013-2017,"15 to 17 yearsClarke County, Virginia"
15 to 17 years,"Culpeper County, Virginia",1011,VA_047,49795,15,2013-2017,"15 to 17 yearsCulpeper County, Virginia"
15 to 17 years,"Fairfax County, Virginia",22177,VA_059,1142004,15,2013-2017,"15 to 17 yearsFairfax County, Virginia"
15 to 17 years,"Fauquier County, Virginia",1534,VA_061,68406,15,2013-2017,"15 to 17 yearsFauquier County, Virginia"
15 to 17 years,"Loudoun County, Virginia",8453,VA_107,374558,15,2013-2017,"15 to 17 yearsLoudoun County, Virginia"
15 to 17 years,"Prince William County, Virginia",9874,VA_153,450763,15,2013-2017,"15 to 17 yearsPrince William County, Virginia"
15 to 17 years,"Rappahannock County, Virginia",52,VA_157,7359,15,2013-2017,"15 to 17 yearsRappahannock County, Virginia"
15 to 17 years,"Spotsylvania County, Virginia",2927,VA_177,130159,15,2013-2017,"15 to 17 yearsSpotsylvania County, Virginia"
15 to 17 years,"Stafford County, Virginia",3554,VA_179,141159,15,2013-2017,"15 to 17 yearsStafford County, Virginia"
15 to 17 years,"Warren County, Virginia",695,VA_187,38991,15,2013-2017,"15 to 17 yearsWarren County, Virginia"
15 to 17 years,"Alexandria city, Virginia",1665,VA_510,154710,15,2013-2017,"15 to 17 yearsAlexandria city, Virginia"
15 to 17 years,"Fairfax city, Virginia",434,VA_600,23580,15,2013-2017,"15 to 17 yearsFairfax city, Virginia"
15 to 17 years,"Falls Church city, Virginia",249,VA_610,13843,15,2013-2017,"15 to 17 yearsFalls Church city, Virginia"
15 to 17 years,"Fredericksburg city, Virginia",541,VA_630,28135,15,2013-2017,"15 to 17 yearsFredericksburg city, Virginia"
15 to 17 years,"Manassas city, Virginia",777,VA_683,41379,15,2013-2017,"15 to 17 yearsManassas city, Virginia"
15 to 17 years,"Manassas Park city, Virginia",263,VA_685,16117,15,2013-2017,"15 to 17 yearsManassas Park city, Virginia"
15 to 17 years,"Jefferson County, West Virginia",1058,WV_037,55673,15,2013-2017,"15 to 17 yearsJefferson County, West Virginia"
18 and 19 years,"District of Columbia, District of Columbia",11803,DC_001,672391,18,2013-2017,"18 and 19 yearsDistrict of Columbia, District of Columbia"
18 and 19 years,"Calvert County, Maryland",1115,MD_009,90824,18,2013-2017,"18 and 19 yearsCalvert County, Maryland"
18 and 19 years,"Charles County, Maryland",1984,MD_017,156021,18,2013-2017,"18 and 19 yearsCharles County, Maryland"
18 and 19 years,"Frederick County, Maryland",3175,MD_021,246105,18,2013-2017,"18 and 19 yearsFrederick County, Maryland"
18 and 19 years,"Montgomery County, Maryland",10827,MD_031,1039198,18,2013-2017,"18 and 19 yearsMontgomery County, Maryland"
18 and 19 years,"Prince George's County, Maryland",13513,MD_033,905161,18,2013-2017,"18 and 19 yearsPrince George's County, Maryland"
18 and 19 years,"Arlington County, Virginia",1581,VA_013,229534,18,2013-2017,"18 and 19 yearsArlington County, Virginia"
18 and 19 years,"Clarke County, Virginia",212,VA_043,14331,18,2013-2017,"18 and 19 yearsClarke County, Virginia"
18 and 19 years,"Culpeper County, Virginia",583,VA_047,49795,18,2013-2017,"18 and 19 yearsCulpeper County, Virginia"
18 and 19 years,"Fairfax County, Virginia",12911,VA_059,1142004,18,2013-2017,"18 and 19 yearsFairfax County, Virginia"
18 and 19 years,"Fauquier County, Virginia",836,VA_061,68406,18,2013-2017,"18 and 19 yearsFauquier County, Virginia"
18 and 19 years,"Loudoun County, Virginia",3928,VA_107,374558,18,2013-2017,"18 and 19 yearsLoudoun County, Virginia"
18 and 19 years,"Prince William County, Virginia",5137,VA_153,450763,18,2013-2017,"18 and 19 yearsPrince William County, Virginia"
18 and 19 years,"Rappahannock County, Virginia",75,VA_157,7359,18,2013-2017,"18 and 19 yearsRappahannock County, Virginia"
18 and 19 years,"Spotsylvania County, Virginia",1595,VA_177,130159,18,2013-2017,"18 and 19 yearsSpotsylvania County, Virginia"
18 and 19 years,"Stafford County, Virginia",1838,VA_179,141159,18,2013-2017,"18 and 19 yearsStafford County, Virginia"
18 and 19 years,"Warren County, Virginia",500,VA_187,38991,18,2013-2017,"18 and 19 yearsWarren County, Virginia"
18 and 19 years,"Alexandria city, Virginia",820,VA_510,154710,18,2013-2017,"18 and 19 yearsAlexandria city, Virginia"
18 and 19 years,"Fairfax city, Virginia",276,VA_600,23580,18,2013-2017,"18 and 19 yearsFairfax city, Virginia"
18 and 19 years,"Falls Church city, Virginia",61,VA_610,13843,18,2013-2017,"18 and 19 yearsFalls Church city, Virginia"
18 and 19 years,"Fredericksburg city, Virginia",1147,VA_630,28135,18,2013-2017,"18 and 19 yearsFredericksburg city, Virginia"
18 and 19 years,"Manassas city, Virginia",636,VA_683,41379,18,2013-2017,"18 and 19 yearsManassas city, Virginia"
18 and 19 years,"Manassas Park city, Virginia",272,VA_685,16117,18,2013-2017,"18 and 19 yearsManassas Park city, Virginia"
18 and 19 years,"Jefferson County, West Virginia",793,WV_037,55673,18,2013-2017,"18 and 19 yearsJefferson County, West Virginia"
20 years,"District of Columbia, District of Columbia",6058,DC_001,672391,20,2013-2017,"20 yearsDistrict of Columbia, District of Columbia"
20 years,"Calvert County, Maryland",555,MD_009,90824,20,2013-2017,"20 yearsCalvert County, Maryland"
20 years,"Charles County, Maryland",1046,MD_017,156021,20,2013-2017,"20 yearsCharles County, Maryland"
20 years,"Frederick County, Maryland",1333,MD_021,246105,20,2013-2017,"20 yearsFrederick County, Maryland"
20 years,"Montgomery County, Maryland",4613,MD_031,1039198,20,2013-2017,"20 yearsMontgomery County, Maryland"
20 years,"Prince George's County, Maryland",6099,MD_033,905161,20,2013-2017,"20 yearsPrince George's County, Maryland"
20 years,"Arlington County, Virginia",694,VA_013,229534,20,2013-2017,"20 yearsArlington County, Virginia"
20 years,"Clarke County, Virginia",25,VA_043,14331,20,2013-2017,"20 yearsClarke County, Virginia"
20 years,"Culpeper County, Virginia",210,VA_047,49795,20,2013-2017,"20 yearsCulpeper County, Virginia"
20 years,"Fairfax County, Virginia",5808,VA_059,1142004,20,2013-2017,"20 yearsFairfax County, Virginia"
20 years,"Fauquier County, Virginia",395,VA_061,68406,20,2013-2017,"20 yearsFauquier County, Virginia"
20 years,"Loudoun County, Virginia",1255,VA_107,374558,20,2013-2017,"20 yearsLoudoun County, Virginia"
20 years,"Prince William County, Virginia",2642,VA_153,450763,20,2013-2017,"20 yearsPrince William County, Virginia"
20 years,"Rappahannock County, Virginia",85,VA_157,7359,20,2013-2017,"20 yearsRappahannock County, Virginia"
20 years,"Spotsylvania County, Virginia",828,VA_177,130159,20,2013-2017,"20 yearsSpotsylvania County, Virginia"
20 years,"Stafford County, Virginia",660,VA_179,141159,20,2013-2017,"20 yearsStafford County, Virginia"
20 years,"Warren County, Virginia",308,VA_187,38991,20,2013-2017,"20 yearsWarren County, Virginia"
20 years,"Alexandria city, Virginia",630,VA_510,154710,20,2013-2017,"20 yearsAlexandria city, Virginia"
20 years,"Fairfax city, Virginia",181,VA_600,23580,20,2013-2017,"20 yearsFairfax city, Virginia"
20 years,"Falls Church city, Virginia",90,VA_610,13843,20,2013-2017,"20 yearsFalls Church city, Virginia"
20 years,"Fredericksburg city, Virginia",699,VA_630,28135,20,2013-2017,"20 yearsFredericksburg city, Virginia"
20 years,"Manassas city, Virginia",319,VA_683,41379,20,2013-2017,"20 yearsManassas city, Virginia"
20 years,"Manassas Park city, Virginia",23,VA_685,16117,20,2013-2017,"20 yearsManassas Park city, Virginia"
20 years,"Jefferson County, West Virginia",501,WV_037,55673,20,2013-2017,"20 yearsJefferson County, West Virginia"
21 years,"District of Columbia, District of Columbia",5872,DC_001,672391,21,2013-2017,"21 yearsDistrict of Columbia, District of Columbia"
21 years,"Calvert County, Maryland",420,MD_009,90824,21,2013-2017,"21 yearsCalvert County, Maryland"
21 years,"Charles County, Maryland",588,MD_017,156021,21,2013-2017,"21 yearsCharles County, Maryland"
21 years,"Frederick County, Maryland",1274,MD_021,246105,21,2013-2017,"21 yearsFrederick County, Maryland"
21 years,"Montgomery County, Maryland",4912,MD_031,1039198,21,2013-2017,"21 yearsMontgomery County, Maryland"
21 years,"Prince George's County, Maryland",6302,MD_033,905161,21,2013-2017,"21 yearsPrince George's County, Maryland"
21 years,"Arlington County, Virginia",516,VA_013,229534,21,2013-2017,"21 yearsArlington County, Virginia"
21 years,"Clarke County, Virginia",120,VA_043,14331,21,2013-2017,"21 yearsClarke County, Virginia"
21 years,"Culpeper County, Virginia",188,VA_047,49795,21,2013-2017,"21 yearsCulpeper County, Virginia"
21 years,"Fairfax County, Virginia",6174,VA_059,1142004,21,2013-2017,"21 yearsFairfax County, Virginia"
21 years,"Fauquier County, Virginia",272,VA_061,68406,21,2013-2017,"21 yearsFauquier County, Virginia"
21 years,"Loudoun County, Virginia",1719,VA_107,374558,21,2013-2017,"21 yearsLoudoun County, Virginia"
21 years,"Prince William County, Virginia",2564,VA_153,450763,21,2013-2017,"21 yearsPrince William County, Virginia"
21 years,"Rappahannock County, Virginia",0,VA_157,7359,21,2013-2017,"21 yearsRappahannock County, Virginia"
21 years,"Spotsylvania County, Virginia",703,VA_177,130159,21,2013-2017,"21 yearsSpotsylvania County, Virginia"
21 years,"Stafford County, Virginia",693,VA_179,141159,21,2013-2017,"21 yearsStafford County, Virginia"
21 years,"Warren County, Virginia",233,VA_187,38991,21,2013-2017,"21 yearsWarren County, Virginia"
21 years,"Alexandria city, Virginia",638,VA_510,154710,21,2013-2017,"21 yearsAlexandria city, Virginia"
21 years,"Fairfax city, Virginia",260,VA_600,23580,21,2013-2017,"21 yearsFairfax city, Virginia"
21 years,"Falls Church city, Virginia",35,VA_610,13843,21,2013-2017,"21 yearsFalls Church city, Virginia"
21 years,"Fredericksburg city, Virginia",1021,VA_630,28135,21,2013-2017,"21 yearsFredericksburg city, Virginia"
21 years,"Manassas city, Virginia",166,VA_683,41379,21,2013-2017,"21 yearsManassas city, Virginia"
21 years,"Manassas Park city, Virginia",106,VA_685,16117,21,2013-2017,"21 yearsManassas Park city, Virginia"
21 years,"Jefferson County, West Virginia",339,WV_037,55673,21,2013-2017,"21 yearsJefferson County, West Virginia"
22 to 24 years,"District of Columbia, District of Columbia",17490,DC_001,672391,22,2013-2017,"22 to 24 yearsDistrict of Columbia, District of Columbia"
22 to 24 years,"Calvert County, Maryland",1637,MD_009,90824,22,2013-2017,"22 to 24 yearsCalvert County, Maryland"
22 to 24 years,"Charles County, Maryland",3322,MD_017,156021,22,2013-2017,"22 to 24 yearsCharles County, Maryland"
22 to 24 years,"Frederick County, Maryland",4704,MD_021,246105,22,2013-2017,"22 to 24 yearsFrederick County, Maryland"
22 to 24 years,"Montgomery County, Maryland",19531,MD_031,1039198,22,2013-2017,"22 to 24 yearsMontgomery County, Maryland"
22 to 24 years,"Prince George's County, Maryland",20061,MD_033,905161,22,2013-2017,"22 to 24 yearsPrince George's County, Maryland"
22 to 24 years,"Arlington County, Virginia",6351,VA_013,229534,22,2013-2017,"22 to 24 yearsArlington County, Virginia"
22 to 24 years,"Clarke County, Virginia",143,VA_043,14331,22,2013-2017,"22 to 24 yearsClarke County, Virginia"
22 to 24 years,"Culpeper County, Virginia",928,VA_047,49795,22,2013-2017,"22 to 24 yearsCulpeper County, Virginia"
22 to 24 years,"Fairfax County, Virginia",20683,VA_059,1142004,22,2013-2017,"22 to 24 yearsFairfax County, Virginia"
22 to 24 years,"Fauquier County, Virginia",1175,VA_061,68406,22,2013-2017,"22 to 24 yearsFauquier County, Virginia"
22 to 24 years,"Loudoun County, Virginia",5928,VA_107,374558,22,2013-2017,"22 to 24 yearsLoudoun County, Virginia"
22 to 24 years,"Prince William County, Virginia",8550,VA_153,450763,22,2013-2017,"22 to 24 yearsPrince William County, Virginia"
22 to 24 years,"Rappahannock County, Virginia",88,VA_157,7359,22,2013-2017,"22 to 24 yearsRappahannock County, Virginia"
22 to 24 years,"Spotsylvania County, Virginia",2443,VA_177,130159,22,2013-2017,"22 to 24 yearsSpotsylvania County, Virginia"
22 to 24 years,"Stafford County, Virginia",3194,VA_179,141159,22,2013-2017,"22 to 24 yearsStafford County, Virginia"
22 to 24 years,"Warren County, Virginia",579,VA_187,38991,22,2013-2017,"22 to 24 yearsWarren County, Virginia"
22 to 24 years,"Alexandria city, Virginia",2790,VA_510,154710,22,2013-2017,"22 to 24 yearsAlexandria city, Virginia"
22 to 24 years,"Fairfax city, Virginia",400,VA_600,23580,22,2013-2017,"22 to 24 yearsFairfax city, Virginia"
22 to 24 years,"Falls Church city, Virginia",299,VA_610,13843,22,2013-2017,"22 to 24 yearsFalls Church city, Virginia"
22 to 24 years,"Fredericksburg city, Virginia",814,VA_630,28135,22,2013-2017,"22 to 24 yearsFredericksburg city, Virginia"
22 to 24 years,"Manassas city, Virginia",773,VA_683,41379,22,2013-2017,"22 to 24 yearsManassas city, Virginia"
22 to 24 years,"Manassas Park city, Virginia",179,VA_685,16117,22,2013-2017,"22 to 24 yearsManassas Park city, Virginia"
22 to 24 years,"Jefferson County, West Virginia",786,WV_037,55673,22,2013-2017,"22 to 24 yearsJefferson County, West Virginia"
25 to 29 years,"District of Columbia, District of Columbia",44267,DC_001,672391,25,2013-2017,"25 to 29 yearsDistrict of Columbia, District of Columbia"
25 to 29 years,"Calvert County, Maryland",2221,MD_009,90824,25,2013-2017,"25 to 29 yearsCalvert County, Maryland"
25 to 29 years,"Charles County, Maryland",4922,MD_017,156021,25,2013-2017,"25 to 29 yearsCharles County, Maryland"
25 to 29 years,"Frederick County, Maryland",7236,MD_021,246105,25,2013-2017,"25 to 29 yearsFrederick County, Maryland"
25 to 29 years,"Montgomery County, Maryland",33095,MD_031,1039198,25,2013-2017,"25 to 29 yearsMontgomery County, Maryland"
25 to 29 years,"Prince George's County, Maryland",34098,MD_033,905161,25,2013-2017,"25 to 29 yearsPrince George's County, Maryland"
25 to 29 years,"Arlington County, Virginia",16275,VA_013,229534,25,2013-2017,"25 to 29 yearsArlington County, Virginia"
25 to 29 years,"Clarke County, Virginia",269,VA_043,14331,25,2013-2017,"25 to 29 yearsClarke County, Virginia"
25 to 29 years,"Culpeper County, Virginia",1350,VA_047,49795,25,2013-2017,"25 to 29 yearsCulpeper County, Virginia"
25 to 29 years,"Fairfax County, Virginia",36367,VA_059,1142004,25,2013-2017,"25 to 29 yearsFairfax County, Virginia"
25 to 29 years,"Fauquier County, Virginia",1768,VA_061,68406,25,2013-2017,"25 to 29 yearsFauquier County, Virginia"
25 to 29 years,"Loudoun County, Virginia",9814,VA_107,374558,25,2013-2017,"25 to 29 yearsLoudoun County, Virginia"
25 to 29 years,"Prince William County, Virginia",14645,VA_153,450763,25,2013-2017,"25 to 29 yearsPrince William County, Virginia"
25 to 29 years,"Rappahannock County, Virginia",178,VA_157,7359,25,2013-2017,"25 to 29 yearsRappahannock County, Virginia"
25 to 29 years,"Spotsylvania County, Virginia",4014,VA_177,130159,25,2013-2017,"25 to 29 yearsSpotsylvania County, Virginia"
25 to 29 years,"Stafford County, Virginia",4266,VA_179,141159,25,2013-2017,"25 to 29 yearsStafford County, Virginia"
25 to 29 years,"Warren County, Virginia",1157,VA_187,38991,25,2013-2017,"25 to 29 yearsWarren County, Virginia"
25 to 29 years,"Alexandria city, Virginia",8695,VA_510,154710,25,2013-2017,"25 to 29 yearsAlexandria city, Virginia"
25 to 29 years,"Fairfax city, Virginia",650,VA_600,23580,25,2013-2017,"25 to 29 yearsFairfax city, Virginia"
25 to 29 years,"Falls Church city, Virginia",387,VA_610,13843,25,2013-2017,"25 to 29 yearsFalls Church city, Virginia"
25 to 29 years,"Fredericksburg city, Virginia",1138,VA_630,28135,25,2013-2017,"25 to 29 yearsFredericksburg city, Virginia"
25 to 29 years,"Manassas city, Virginia",1599,VA_683,41379,25,2013-2017,"25 to 29 yearsManassas city, Virginia"
25 to 29 years,"Manassas Park city, Virginia",647,VA_685,16117,25,2013-2017,"25 to 29 yearsManassas Park city, Virginia"
25 to 29 years,"Jefferson County, West Virginia",1573,WV_037,55673,25,2013-2017,"25 to 29 yearsJefferson County, West Virginia"
30 to 34 years,"District of Columbia, District of Columbia",39027,DC_001,672391,30,2013-2017,"30 to 34 yearsDistrict of Columbia, District of Columbia"
30 to 34 years,"Calvert County, Maryland",2493,MD_009,90824,30,2013-2017,"30 to 34 yearsCalvert County, Maryland"
30 to 34 years,"Charles County, Maryland",5160,MD_017,156021,30,2013-2017,"30 to 34 yearsCharles County, Maryland"
30 to 34 years,"Frederick County, Maryland",7925,MD_021,246105,30,2013-2017,"30 to 34 yearsFrederick County, Maryland"
30 to 34 years,"Montgomery County, Maryland",36875,MD_031,1039198,30,2013-2017,"30 to 34 yearsMontgomery County, Maryland"
30 to 34 years,"Prince George's County, Maryland",33256,MD_033,905161,30,2013-2017,"30 to 34 yearsPrince George's County, Maryland"
30 to 34 years,"Arlington County, Virginia",13791,VA_013,229534,30,2013-2017,"30 to 34 yearsArlington County, Virginia"
30 to 34 years,"Clarke County, Virginia",350,VA_043,14331,30,2013-2017,"30 to 34 yearsClarke County, Virginia"
30 to 34 years,"Culpeper County, Virginia",1537,VA_047,49795,30,2013-2017,"30 to 34 yearsCulpeper County, Virginia"
