estimate_year,index,CA_037,CA_059,DC_001,DE_003,FL_011,FL_086,FL_099,GA_013,GA_015,GA_035,GA_045,GA_057,GA_063,GA_067,GA_077,GA_085,GA_089,GA_097,GA_113,GA_117,GA_121,GA_135,GA_143,GA_149,GA_151,GA_159,GA_171,GA_199,GA_211,GA_217,GA_223,GA_227,GA_231,GA_247,GA_255,GA_297,IL_031,IL_037,IL_043,IL_063,IL_089,IL_093,IL_097,IL_111,IL_197,IN_073,IN_089,IN_111,IN_127,MA_009,MA_017,MA_021,MA_023,MA_025,MD_009,MD_015,MD_017,MD_021,MD_031,MD_033,MSA,NH_015,NH_017,NJ_003,NJ_005,NJ_007,NJ_013,NJ_015,NJ_017,NJ_019,NJ_023,NJ_025,NJ_027,NJ_029,NJ_031,NJ_033,NJ_035,NJ_037,NJ_039,NY_005,NY_027,NY_047,NY_059,NY_061,NY_071,NY_079,NY_081,NY_085,NY_087,NY_103,NY_119,PA_017,PA_029,PA_045,PA_091,PA_101,PA_103,TX_015,TX_039,TX_071,TX_085,TX_113,TX_121,TX_139,TX_157,TX_167,TX_201,TX_221,TX_231,TX_251,TX_257,TX_291,TX_339,TX_367,TX_397,TX_425,TX_439,TX_473,TX_497,VA_013,VA_043,VA_047,VA_059,VA_061,VA_107,VA_153,VA_157,VA_177,VA_179,VA_187,VA_510,VA_600,VA_610,VA_630,VA_683,VA_685,WI_059,WV_037
2009-2013,B11016_9_nonfamily_households,,,,66636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9839,,,,,37980.0,,,,49402,61118,,28665,,,,,,,,7908,,,,,,,,,,,,,,,,64658,54403,67733,98736,271093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2013,B11016_10_1-person_household,,,,53810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8181,,,,,37980.0,,,,41547,51607,,23387,,,,,,,,6793,,,,,,,,,,,,,,,,54838,43907,57930,83053,228672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2013,B11016_11_2-person_household,,,,10332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1483,,,,,37980.0,,,,6797,8423,,4517,,,,,,,,1013,,,,,,,,,,,,,,,,8850,8209,8462,13639,32980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2013,B11016_12_3-person_household,,,,1461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,37980.0,,,,582,748,,463,,,,,,,,72,,,,,,,,,,,,,,,,714,1242,878,1294,6224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2013,B11016_13_4-person_household,,,,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,37980.0,,,,324,160,,194,,,,,,,,15,,,,,,,,,,,,,,,,158,721,316,503,2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2013,B11016_14_5-person_household,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,37980.0,,,,137,121,,65,,,,,,,,0,,,,,,,,,,,,,,,,93,226,82,202,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2013,B11016_15_6-person_household,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,37980.0,,,,0,27,,12,,,,,,,,15,,,,,,,,,,,,,,,,0,59,20,45,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2013,B11016_16_7-or-more_person_household,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,37980.0,,,,15,32,,27,,,,,,,,0,,,,,,,,,,,,,,,,5,39,45,0,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-2013,FILEID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACSSF,ACSSF,ACSSF,,,,,ACSSF,ACSSF,ACSSF,,,,,ACSSF,ACSSF,,,,,ACSSF,,,,,,,,,,,,,,,,,,,,
2009-2013,FILETYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013e5,2013e5,2013e5,,,,,2013e5,2013e5,2013e5,,,,,2013e5,2013e5,,,,,2013e5,,,,,,,,,,,,,,,,,,,,
2009-2013,STATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tx,tx,tx,,,,,tx,tx,tx,,,,,tx,tx,,,,,tx,,,,,,,,,,,,,,,,,,,,
2009-2013,CHARITER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000,000,000,,,,,000,000,000,,,,,000,000,,,,,000,,,,,,,,,,,,,,,,,,,,
2009-2013,SEQUENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0003,0003,0003,,,,,0003,0003,0003,,,,,0003,0003,,,,,0003,,,,,,,,,,,,,,,,,,,,
2009-2013,LOGRECNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0000020,0000032,0000048,,,,,0000091,0000096,0000113,,,,,0000158,0000182,,,,,0000249,,,,,,,,,,,,,,,,,,,,
2009-2013,SUMMARY_LEVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,050,050,050,,,,,050,050,050,,,,,050,050,,,,,050,,,,,,,,,,,,,,,,,,,,
2009-2013,STATE_FIPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,48,48,,,,,48,48,48,,,,,48,48,,,,,48,,,,,,,,,,,,,,,,,,,,
2009-2013,GEO_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US48015,05000US48039,05000US48071,,,,,05000US48157,05000US48167,05000US48201,,,,,05000US48291,05000US48339,,,,,05000US48473,,,,,,,,,,,,,,,,,,,,
2009-2013,GEO_NAME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Austin County, Texas","Brazoria County, Texas","Chambers County, Texas",,,,,"Fort Bend County, Texas","Galveston County, Texas","Harris County, Texas",,,,,"Liberty County, Texas","Montgomery County, Texas",,,,,"Waller County, Texas",,,,,,,,,,,,,,,,,,,,
2009-2013,B01003_1_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28573,319493,35570,,,,,608939,296669,4182285,,,,,76013,472162,,,,,43836,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_1_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28573,319493,35570,,,,,608939,296669,4182285,,,,,76013,472162,,,,,43836,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_2_male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14246,162326,17913,,,,,299234,146880,2083322,,,,,37320,233843,,,,,22019,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_3_under_5_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961,12492,1277,,,,,22546,10244,172431,,,,,2623,17531,,,,,1715,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_4_5_to_9_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,883,12785,1668,,,,,26900,10748,166481,,,,,2939,18413,,,,,1265,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_5_10_to_14_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,12320,1283,,,,,25526,10682,159326,,,,,2488,19294,,,,,1642,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_6_15_to_17_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621,7411,837,,,,,15875,6628,94503,,,,,1828,11089,,,,,1029,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_7_18_and_19_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305,4259,563,,,,,8524,4190,60124,,,,,1003,6193,,,,,1044,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_8_20_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,1761,188,,,,,3844,1830,31488,,,,,426,2804,,,,,462,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_9_21_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,1990,214,,,,,3691,1819,30795,,,,,338,3486,,,,,673,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_10_22_to_24_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,5992,525,,,,,9851,5685,93803,,,,,1867,7516,,,,,1930,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_11_25_to_29_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,10611,1031,,,,,17212,9551,174950,,,,,2408,14413,,,,,1174,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_12_30_to_34_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,11811,1089,,,,,19123,9639,167859,,,,,2251,15385,,,,,1143,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_13_35_to_39_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,12107,1367,,,,,22331,9040,154506,,,,,2395,16361,,,,,1132,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_14_40_to_44_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791,12420,1231,,,,,22555,10183,146659,,,,,2620,16652,,,,,1270,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_15_45_to_49_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,12132,1403,,,,,22602,10915,138407,,,,,2693,17183,,,,,1406,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_16_50_to_54_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1040,12008,1413,,,,,22842,11698,134619,,,,,2799,17197,,,,,1490,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_17_55_to_59_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,10067,1252,,,,,19617,10554,115317,,,,,2436,15062,,,,,1374,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_18_60_and_61_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,3107,328,,,,,6715,3712,39536,,,,,889,5351,,,,,440,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_19_62_to_64_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547,4622,584,,,,,7639,4194,48883,,,,,1255,6862,,,,,640,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_20_65_and_66_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,2457,339,,,,,4322,2364,27756,,,,,648,4252,,,,,417,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_21_67_to_69_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,2942,382,,,,,4996,3310,32051,,,,,1014,4828,,,,,358,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_22_70_to_74_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,3911,412,,,,,5536,4081,38065,,,,,1008,6087,,,,,613,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_23_75_to_79_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416,2445,307,,,,,3176,2647,25717,,,,,686,3926,,,,,330,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_24_80_to_84_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282,1571,81,,,,,2290,1874,16958,,,,,382,2363,,,,,213,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_25_85_years_and_over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,1105,139,,,,,1521,1292,13088,,,,,324,1595,,,,,259,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_26_female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14327,157167,17657,,,,,309705,149789,2098963,,,,,38693,238319,,,,,21817,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_27_under_5_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,878,11998,1207,,,,,21545,9744,166175,,,,,2599,16424,,,,,1347,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_28_5_to_9_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016,12198,1238,,,,,25082,9513,162126,,,,,2642,17080,,,,,1567,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_29_10_to_14_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838,11805,1468,,,,,24671,10864,149722,,,,,2526,19013,,,,,1276,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_30_15_to_17_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639,6739,931,,,,,15096,6189,90026,,,,,1572,10695,,,,,766,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_31_18_and_19_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,3677,422,,,,,7612,3685,54976,,,,,888,5595,,,,,2072,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_32_20_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,1666,197,,,,,3267,2234,29669,,,,,523,2512,,,,,835,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_33_21_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,1232,167,,,,,3365,1326,28571,,,,,399,2491,,,,,523,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_34_22_to_24_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,6066,619,,,,,9518,5438,90758,,,,,1787,7909,,,,,1032,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_35_25_to_29_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587,10376,1053,,,,,18033,9673,168722,,,,,2609,14537,,,,,1079,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_36_30_to_34_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724,11361,1201,,,,,21518,9912,163816,,,,,2749,15906,,,,,1125,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_37_35_to_39_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975,12529,1212,,,,,24553,9292,154004,,,,,2642,16865,,,,,1205,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_38_40_to_44_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776,10782,1391,,,,,25632,10666,144959,,,,,2653,17066,,,,,1235,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_39_45_to_49_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1048,11323,1410,,,,,24060,11307,140340,,,,,2860,17644,,,,,1440,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_40_50_to_54_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1098,11153,1189,,,,,23716,11850,138485,,,,,2797,17547,,,,,1431,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_41_55_to_59_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941,8663,1264,,,,,20252,9875,119399,,,,,2448,15224,,,,,1313,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_42_60_and_61_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493,3216,297,,,,,6173,3868,40405,,,,,1159,5472,,,,,582,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_43_62_to_64_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569,4994,515,,,,,8911,5137,56693,,,,,1017,7925,,,,,528,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_44_65_and_66_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379,2394,421,,,,,4780,2563,30043,,,,,671,4121,,,,,355,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_45_67_to_69_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543,3666,389,,,,,5073,3794,36192,,,,,914,5878,,,,,265,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_46_70_to_74_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,528,3702,362,,,,,6223,4199,46382,,,,,1170,6799,,,,,817,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_47_75_to_79_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402,3054,212,,,,,4186,3574,33923,,,,,872,4559,,,,,384,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_48_80_to_84_years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326,2101,187,,,,,3633,2711,26513,,,,,626,3457,,,,,170,,,,,,,,,,,,,,,,,,,,
2009-2013,B01001_49_85_years_and_over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,2472,305,,,,,2806,2375,27064,,,,,570,3600,,,,,470,,,,,,,,,,,,,,,,,,,,
2009-2013,B02001_1_total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28573,319493,35570,,,,,608939,296669,4182285,,,,,76013,472162,,,,,43836,,,,,,,,,,,,,,,,,,,,
2009-2013,B02001_2_white_alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24315,238829,29449,,,,,324701,232601,2634618,,,,,60877,411304,,,,,29819,,,,,,,,,,,,,,,,,,,,
2009-2013,B02001_3_black_or_african_american_alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2707,40250,2837,,,,,129926,40236,790585,,,,,8349,20247,,,,,10736,,,,,,,,,,,,,,,,,,,,
2009-2013,B02001_4_american_indian_and_alaska_native_alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1262,135,,,,,1396,989,19737,,,,,299,1716,,,,,206,,,,,,,,,,,,,,,,,,,,
2009-2013,B02001_5_asian_alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,18079,407,,,,,106705,9392,264661,,,,,402,11021,,,,,241,,,,,,,,,,,,,,,,,,,,
2009-2013,B02001_6_native_hawaiian_and_other_pacific_islander_alone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,45,20,,,,,30,92,2731,,,,,26,294,,,,,0,,,,,,,,,,,,,,,,,,,,
