,,,22117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2601,,4866,7358,34240,30494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7036,362,1769,38138,2030,14407,17621,115,4192,4550,1066,5878,779,430,1036,1744,698,1630,,47900.0,2013-2017,B01001_3_under_5_years
,,,16987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2470,,5456,7728,34913,29124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5966,564,1692,38827,2219,16657,18408,142,4325,5147,1292,3677,786,600,837,1656,686,1931,,47900.0,2013-2017,B01001_4_5_to_9_years
,,,12571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3975,,5582,9282,34211,27428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4674,353,1986,38293,2523,15521,17567,227,5288,5796,1240,2940,590,535,735,1416,545,1830,,47900.0,2013-2017,B01001_5_10_to_14_years
,,,7810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2235,,3762,5500,20934,16736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2570,370,1044,23338,1579,8646,10414,186,3123,3560,787,1707,406,302,267,839,465,1148,,47900.0,2013-2017,B01001_6_15_to_17_years
,,,9814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,,2099,3375,11737,14186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1386,158,716,14035,776,4245,5694,41,1713,2024,520,947,197,207,504,444,231,837,,47900.0,2013-2017,B01001_7_18_and_19_years
,,,5474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,,999,1464,5800,6951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611,79,288,5809,318,1504,3414,73,1027,840,329,542,132,30,249,309,26,344,,47900.0,2013-2017,B01001_8_20_years
,,,5859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696,,1016,1533,5112,7446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,721,43,286,5604,285,1460,2770,0,624,877,221,470,180,35,338,287,232,404,,47900.0,2013-2017,B01001_9_21_years
,,,14120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676,,3266,4709,19558,19574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6102,304,783,22793,1341,6290,8515,129,2407,3932,735,2271,542,173,779,931,251,877,,47900.0,2013-2017,B01001_10_22_to_24_years
,,,37358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2544,,4913,7396,32142,35102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15443,377,1408,38021,1771,9446,14852,201,3959,4832,1186,7272,960,370,1577,1641,641,1460,,47900.0,2013-2017,B01001_11_25_to_29_years
,,,35738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2365,,4685,7741,35034,32558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14335,314,1478,41637,1857,13030,16813,172,3989,4757,1280,9425,900,459,830,1756,707,1624,,47900.0,2013-2017,B01001_12_30_to_34_years
,,,26223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2517,,4643,7484,36087,30583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10442,333,1500,41659,1984,15278,17013,107,3743,5002,1198,7858,767,513,1081,1542,714,1788,,47900.0,2013-2017,B01001_13_35_to_39_years
,,,21301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2570,,5070,8287,33436,29346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8923,409,1887,40436,2164,16981,17379,257,4591,4648,1046,6481,773,563,761,1571,685,1813,,47900.0,2013-2017,B01001_14_40_to_44_years
,,,19162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3659,,5886,9314,35531,30236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7935,516,1862,41458,2510,15882,16934,215,4713,5440,1513,5341,880,446,663,1485,704,2070,,47900.0,2013-2017,B01001_15_45_to_49_years
,,,19334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4138,,6188,9929,36170,30647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7085,607,1943,41977,2851,14288,16299,276,4957,5659,1623,5013,812,537,736,1255,581,2214,,47900.0,2013-2017,B01001_16_50_to_54_years
,,,17698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3376,,5101,8570,34492,27132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6147,706,1516,37807,2437,10171,13592,253,4606,4744,1373,4209,908,472,708,1324,442,1851,,47900.0,2013-2017,B01001_17_55_to_59_years
,,,6153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343,,1758,2914,12044,10261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837,198,581,13630,912,3427,4225,124,1483,1252,551,1476,294,178,334,319,143,781,,47900.0,2013-2017,B01001_18_60_and_61_years
,,,8789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1586,,2300,4216,17029,13584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3072,202,962,18468,1446,4522,5601,265,1832,1908,837,2060,312,260,221,586,130,1095,,47900.0,2013-2017,B01001_19_62_to_64_years
,,,4578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,970,,1215,2342,10275,8350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1677,161,462,11189,780,2579,3563,123,1219,981,408,1504,177,157,246,342,68,532,,47900.0,2013-2017,B01001_20_65_and_66_years
,,,6357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104,,1586,3222,12167,9886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2260,312,605,14305,1088,2647,4107,150,1532,1370,577,1375,349,100,232,289,200,932,,47900.0,2013-2017,B01001_21_67_to_69_years
,,,8953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642,,2318,3660,15437,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2629,314,1049,15617,1256,3628,4586,264,2070,1686,704,1812,299,177,293,480,198,1027,,47900.0,2013-2017,B01001_22_70_to_74_years
,,,5425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,,1237,2517,10609,7477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1511,218,717,10202,911,2263,2704,176,1164,950,434,938,258,104,206,232,69,760,,47900.0,2013-2017,B01001_23_75_to_79_years
,,,3617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,,804,1353,7250,4470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,192,290,6519,514,1602,1560,99,848,506,289,718,187,89,163,128,30,324,,47900.0,2013-2017,B01001_24_80_to_84_years
,,,3608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,609,,618,1411,7363,3307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1043,103,233,5831,306,1101,1212,51,540,523,236,587,133,64,94,99,36,216,,47900.0,2013-2017,B01001_25_85_years_and_over
,,,353345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45640,,80653,124800,537627,469283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115131,7136,24738,576411,34548,188983,225920,3713,66214,70175,19546,80209,11959,7042,15245,20704,7635,28185,,47900.0,2013-2017,B01001_26_female
,,,21490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2273,,4667,7103,32716,29340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6654,349,1482,36239,1946,13793,16614,249,3957,4431,1180,5429,883,448,913,1716,360,1489,,47900.0,2013-2017,B01001_27_under_5_years
,,,16379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490,,4725,7234,32755,28350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5506,276,1881,38547,1981,15382,18255,177,4545,4944,1389,3703,542,442,750,1534,767,1760,,47900.0,2013-2017,B01001_28_5_to_9_years
,,,12963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3564,,5773,8838,33678,26249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4782,465,1703,35449,2426,15904,16119,190,4800,5564,1116,2939,713,436,771,1393,484,1846,,47900.0,2013-2017,B01001_29_10_to_14_years
,,,7741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2131,,3552,5274,20207,16079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2514,265,1011,22177,1534,8453,9874,52,2927,3554,695,1665,434,249,541,777,263,1058,,47900.0,2013-2017,B01001_30_15_to_17_years
,,,11803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115,,1984,3175,10827,13513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581,212,583,12911,836,3928,5137,75,1595,1838,500,820,276,61,1147,636,272,793,,47900.0,2013-2017,B01001_31_18_and_19_years
,,,6058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555,,1046,1333,4613,6099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,25,210,5808,395,1255,2642,85,828,660,308,630,181,90,699,319,23,501,,47900.0,2013-2017,B01001_32_20_years
,,,5872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,588,1274,4912,6302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,120,188,6174,272,1719,2564,0,703,693,233,638,260,35,1021,166,106,339,,47900.0,2013-2017,B01001_33_21_years
,,,17490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637,,3322,4704,19531,20061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6351,143,928,20683,1175,5928,8550,88,2443,3194,579,2790,400,299,814,773,179,786,,47900.0,2013-2017,B01001_34_22_to_24_years
,,,44267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2221,,4922,7236,33095,34098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16275,269,1350,36367,1768,9814,14645,178,4014,4266,1157,8695,650,387,1138,1599,647,1573,,47900.0,2013-2017,B01001_35_25_to_29_years
,,,39027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2493,,5160,7925,36875,33256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13791,350,1537,41494,1769,14689,17124,171,4160,4623,1236,9960,753,495,918,1616,625,1704,,47900.0,2013-2017,B01001_36_30_to_34_years
,,,27087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530,,5109,7695,37746,32289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10366,401,1631,42566,2172,16970,17971,242,4278,5127,971,7813,853,393,1063,1602,737,1938,,47900.0,2013-2017,B01001_37_35_to_39_years
,,,20993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3278,,6116,8562,36787,30754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8328,454,1499,42009,2119,16143,17123,113,4413,4695,1304,6368,755,467,788,1278,670,1783,,47900.0,2013-2017,B01001_38_40_to_44_years
,,,18948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3747,,6841,9640,39250,33932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7293,564,1666,43331,2630,15750,17091,240,5068,5708,1399,5476,850,590,701,1368,689,2166,,47900.0,2013-2017,B01001_39_45_to_49_years
,,,19136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4214,,6866,10122,40004,35377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6537,596,1854,43624,2966,13701,16278,290,5167,5745,1639,5107,868,610,825,1485,488,2223,,47900.0,2013-2017,B01001_40_50_to_54_years
,,,18545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3464,,5754,9439,37344,32482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6269,681,1917,39696,2505,10514,12752,348,4716,4538,1386,4830,863,509,832,1162,377,1977,,47900.0,2013-2017,B01001_41_55_to_59_years
,,,7685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1091,,1946,2872,14153,12076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2146,241,401,14501,1058,3538,4834,115,1539,1665,529,1453,237,264,136,551,140,772,,47900.0,2013-2017,B01001_42_60_and_61_years
,,,10630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1751,,2307,4009,19523,16986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3093,202,982,19521,1413,4150,6643,170,1947,1689,803,2588,469,233,462,653,209,1122,,47900.0,2013-2017,B01001_43_62_to_64_years
,,,6187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,,1548,2609,11383,9983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,238,504,11873,804,2635,3492,152,1639,1048,496,1313,277,236,210,388,113,725,,47900.0,2013-2017,B01001_44_65_and_66_years
,,,8810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302,,2115,3337,14589,12887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2260,340,873,14961,1088,3297,4337,161,1769,1744,581,1919,412,138,324,432,59,786,,47900.0,2013-2017,B01001_45_67_to_69_years
,,,10697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1483,,2335,4209,18936,15399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3060,293,936,18193,1412,4431,6018,255,2127,1794,726,2332,333,207,418,445,189,1170,,47900.0,2013-2017,B01001_46_70_to_74_years
,,,8393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081,,1811,3062,14033,9682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1765,176,518,11967,912,2884,3514,176,1299,1151,573,1413,389,215,276,204,163,764,,47900.0,2013-2017,B01001_47_75_to_79_years
,,,5623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849,,1095,2117,10470,7161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489,212,507,8424,658,2260,2078,90,1102,759,350,1052,239,109,295,325,37,484,,47900.0,2013-2017,B01001_48_80_to_84_years
,,,7521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,921,,1071,3031,14200,6928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1843,264,577,9896,709,1845,2265,96,1178,745,396,1276,322,129,203,282,38,426,,47900.0,2013-2017,B01001_49_85_years_and_over
,,,672391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90824,,156021,246105,1039198,905161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229534,14331,49795,1142004,68406,374558,450763,7359,130159,141159,38991,154710,23580,13843,28135,41379,16117,55673,,47900.0,2013-2017,B02001_1_total
,,,273471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73885,,72951,199955,563929,170009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164102,12800,38337,713926,59448,250975,265523,6721,94968,97462,35339,96411,16104,10938,18127,28105,10413,48726,,47900.0,2013-2017,B02001_2_white_alone
,,,321062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10797,,67351,22103,187943,572465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20278,703,7150,110385,5139,28333,94217,280,20643,23940,1435,34123,1145,667,6326,5518,2202,3669,,47900.0,2013-2017,B02001_3_black_or_african_american_alone
,,,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,894,618,3091,3266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,51,227,2462,196,977,1623,12,567,382,101,322,40,0,37,303,46,108,,47900.0,2013-2017,B02001_4_american_indian_and_alaska_native_alone
,,,25558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1504,,4916,11186,153504,38811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23576,149,697,215438,939,64423,36563,88,3408,4436,464,9603,3782,1282,669,2176,1689,830,,47900.0,2013-2017,B02001_5_asian_alone
,,,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,163,174,477,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,0,5,719,14,330,569,0,119,112,0,54,13,0,34,76,5,0,,47900.0,2013-2017,B02001_6_native_hawaiian_and_other_pacific_islander_alone
,,,30961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,,1151,3917,88027,96031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13029,208,1379,49151,607,11230,28622,28,5788,7329,212,6884,1190,285,1151,3297,1141,940,,47900.0,2013-2017,B02001_7_some_other_race_alone
,,,19293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3913,,8595,8152,42227,24246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7342,420,2000,49923,2063,18290,23646,230,4666,7498,1440,7313,1306,671,1791,1904,621,1400,,47900.0,2013-2017,B02001_8_two_or_more_races
,,,2665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,449,1188,7219,3815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045,87,157,5757,260,2989,3099,78,812,835,69,1532,397,86,248,309,106,212,,47900.0,2013-2017,B02001_9_two_races_including_some_other_race
,,,16628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3743,,8146,6964,35008,20431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6297,333,1843,44166,1803,15301,20547,152,3854,6663,1371,5781,909,585,1543,1595,515,1188,,47900.0,2013-2017,"B02001_10_two_races_excluding_some_other_race,_and_three_or_more_races"
,,,277985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31462,,54988,90022,369242,306694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102310,5568,16837,393380,23981,121299,139306,3131,43279,45345,14190,68663,8499,5308,10419,12540,4778,20808,,47900.0,2013-2017,B11001_1_total
,,,121411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23759,,40303,65073,257855,202472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47715,3743,12540,281196,17777,94277,107839,2154,33291,36991,10025,33164,5680,3459,5701,9507,3495,14643,,47900.0,2013-2017,B11001_2_family_households
,,,70359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18450,,29091,51731,199813,121209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38858,2938,9828,229244,14838,79861,84629,1785,26387,29838,7199,24895,4506,2710,3685,7460,2803,11381,,47900.0,2013-2017,B11001_3_married-couple_family
,,,51052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5309,,11212,13342,58042,81263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8857,805,2712,51952,2939,14416,23210,369,6904,7153,2826,8269,1174,749,2016,2047,692,3262,,47900.0,2013-2017,B11001_4_other_family
,,,10092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1712,,2429,4329,16178,20763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2982,181,924,15776,931,4193,7143,143,1903,2001,797,2544,317,155,295,542,246,949,,47900.0,2013-2017,"B11001_5_male_householder,_no_wife_present"
,,,40960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3597,,8783,9013,41864,60500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5875,624,1788,36176,2008,10223,16067,226,5001,5152,2029,5725,857,594,1721,1505,446,2313,,47900.0,2013-2017,"B11001_6_female_householder,_no_husband_present"
,,,156574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7703,,14685,24949,111387,104222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54595,1825,4297,112184,6204,27022,31467,977,9988,8354,4165,35499,2819,1849,4718,3033,1283,6165,,47900.0,2013-2017,B11001_7_nonfamily_households
,,,121126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5861,,12467,19564,92107,86830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40110,1550,3431,87948,5053,20966,25703,875,8155,6523,3415,28751,1871,1600,3781,2430,977,4771,,47900.0,2013-2017,B11001_8_householder_living_alone
,,,35448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1842,,2218,5385,19280,17392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14485,275,866,24236,1151,6056,5764,102,1833,1831,750,6748,948,249,937,603,306,1394,,47900.0,2013-2017,B11001_9_householder_not_living_alone
,,,477843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61269,,103318,166221,713454,607229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171870,10243,33245,777179,46770,239466,286605,5530,85662,89555,26801,117664,16279,9471,16734,26439,10529,38100,,47900.0,2013-2017,B15002_1_total
,,,224294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29814,,48322,80356,335066,283939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85337,4962,16493,378756,22787,116845,140440,2733,41246,44258,13255,56069,8009,4489,8145,13049,5348,18487,,47900.0,2013-2017,B15002_2_male
,,,2498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,419,854,5410,5225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148,38,164,5769,180,1618,2464,9,330,199,122,459,48,8,38,426,105,143,,47900.0,2013-2017,B15002_3_no_schooling_completed
